"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"279",12,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-8"
"280",12,"Devin Neal",NO,"RB80","8","2 out of 5","4 out of 5","3 out of 5 stars","+47"
"281",12,"Kaelon Black",SF,"RB81","8","3 out of 5","4 out of 5","2 out of 5 stars","-46"
"282",12,"San Francisco 49ers",SF,"DST17","8","-","-","3 out of 5 stars","-61"
"283",12,"Atlanta Falcons",ATL,"DST18","11","-","-","4 out of 5 stars","-41"
"284",12,"Oscar Delp",NO,"TE36","8","4 out of 5","4 out of 5","2 out of 5 stars","+234"
"285",12,"Brandon Aiyuk",SF,"WR101","8","2 out of 5","5 out of 5","2 out of 5 stars","-2"
"286",12,"Malik Davis",DAL,"RB82","14","-","-","4 out of 5 stars","+117"
"287",12,"Shedeur Sanders",CLE,"QB33","11","3 out of 5","4 out of 5","4 out of 5 stars","-33"
"288",12,"Caleb Douglas",MIA,"WR102","6","2 out of 5","4 out of 5","3 out of 5 stars","-72"
"289",12,"Najee Harris",NYG,"RB83","8","2 out of 5","4 out of 5","4 out of 5 stars","-39"
"290",12,"Kirk Cousins",LV,"QB34","13","2 out of 5","4 out of 5","1 out of 5 stars","+15"
"291",12,"Kaleb Johnson",PIT,"RB84","9","1 out of 5","5 out of 5","2 out of 5 stars","-24"
"292",12,"Brashard Smith",KC,"RB85","5","-","-","3 out of 5 stars","+12"
"293",12,"Kyle Williams",NE,"WR103","11","-","-","2 out of 5 stars","-17"
"294",12,"Mack Hollins",NE,"WR104","11","-","-","2 out of 5 stars","+44"
"295",12,"Hollywood Brown",PHI,"WR105","10","-","-","4 out of 5 stars","+28"
"296",12,"Deshaun Watson",CLE,"QB35","11","1 out of 5","5 out of 5","4 out of 5 stars","+76"
"297",12,"Kendre Miller",NO,"RB86","8","2 out of 5","4 out of 5","3 out of 5 stars","+43"
"298",12,"Emari Demercado",KC,"RB87","5","1 out of 5","5 out of 5","3 out of 5 stars","+60"
"299",12,"Devin Singletary",NYG,"RB88","8","-","-","4 out of 5 stars","-1"
"300",12,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","+105"
"301",12,"Adam Randall",BAL,"RB89","13","3 out of 5","4 out of 5","3 out of 5 stars","+209"
"302",12,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-75"
"303",12,"Tyreek Hill",FA,"WR107","-","1 out of 5","5 out of 5","-","-84"
"304",12,"Seth McGowan",IND,"RB90","13","4 out of 5","4 out of 5","4 out of 5 stars","+139"
"305",12,"Jerome Ford",WAS,"RB91","7","2 out of 5","4 out of 5","4 out of 5 stars","-"
"306",12,"Cyrus Allen",KC,"WR108","5","4 out of 5","4 out of 5","2 out of 5 stars","-101"
"307",12,"Trevor Etienne",CAR,"RB92","5","-","-","1 out of 5 stars","+241"
"308",12,"Mike Gesicki",CIN,"TE37","6","-","-","3 out of 5 stars","+34"
"309",12,"Skyler Bell",BUF,"WR109","7","-","-","4 out of 5 stars","+13"
"310",12,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","+4"
"311",12,"Isaac Guerendo",SF,"RB93","8","-","-","2 out of 5 stars","-"
"312",12,"Tahj Brooks",CIN,"RB94","6","-","-","2 out of 5 stars","+167"
"313",12,"Andrei Iosivas",CIN,"WR110","6","-","-","4 out of 5 stars","+78"
"314",12,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-35"
