RK,TIERS,PLAYER NAME,TEAM,POS
209,12,Ollie Gordon II,MIA,RB65
210,12,Ted Hurst III,TB,WR78
211,12,Calvin Ridley,TEN,WR79
212,12,Tyler Loop,BAL,K7
213,12,Rashod Bateman,BAL,WR80
214,12,Oronde Gadsden II,LAC,TE24
215,12,Devaughn Vele,NO,WR81
216,12,Troy Franklin,DEN,WR82
217,12,Terrance Ferguson,LAR,TE25
218,12,Gunnar Helm,TEN,TE26
219,12,Tank Dell,HOU,WR83
220,12,Kaytron Allen,WAS,RB66
221,12,Cairo Santos,CHI,K8
222,12,Jake Bates,DET,K9
223,12,Justice Hill,BAL,RB67
224,12,George Holani,SEA,RB68
225,12,Kansas City Chiefs,KC,DST12
226,12,Cooper Kupp,SEA,WR84
227,12,Antonio Williams,WAS,WR85
228,12,Jack Bech,LV,WR86
229,12,Zachariah Branch,ATL,WR87
230,12,Harrison Mevis,LAR,K10
231,12,Green Bay Packers,GB,DST13
232,12,Detroit Lions,DET,DST14
233,12,Demond Claiborne,MIN,RB69
234,12,Jaylen Wright,MIA,RB70
235,12,Malachi Fields,NYG,WR88
236,12,Germie Bernard,PIT,WR89
237,12,Pat Freiermuth,PIT,TE27
238,12,Evan McPherson,CIN,K11
239,12,Emanuel Wilson,SEA,RB71
240,12,Fernando Mendoza,LV,QB28
241,12,Aaron Rodgers,PIT,QB29
242,12,Cade Otton,TB,TE28
243,12,Najee Harris,NYG,RB72
244,12,Keon Coleman,BUF,WR90
245,12,Geno Smith,NYJ,QB30
246,12,Seth McGowan,IND,RB73
247,12,Andy Borregales,NE,K12
248,12,Isaiah Davis,NYJ,RB74
249,12,DJ Giddens,IND,RB75
250,12,Cyrus Allen,KC,WR91
251,12,Darius Slayton,NYG,WR92
252,12,Kaelon Black,SF,RB76
253,13,Caleb Douglas,MIA,WR93
254,13,Chris Brooks,GB,RB77
255,13,Harrison Butker,KC,K13
256,13,Tory Horton,SEA,WR94
257,13,Jordan James,SF,RB78
258,13,David Njoku,LAC,TE29
259,13,Chris Boswell,PIT,K14
260,13,Chris Bell,MIA,WR95
261,13,Colby Parkinson,LAR,TE30
262,13,Buffalo Bills,BUF,DST15
263,13,Chimere Dike,TEN,WR96
264,13,San Francisco 49ers,SF,DST16
265,13,Elic Ayomanor,TEN,WR97
266,13,Tyquan Thornton,KC,WR98
267,13,Chase McLaughlin,TB,K15
268,13,Cleveland Browns,CLE,DST17
269,13,Greg Dulcich,MIA,TE31
270,13,Samaje Perine,CIN,RB79
271,13,Will Reichard,MIN,K16
272,13,Kirk Cousins,LV,QB31
