Overall,Player,Position,Tier
315,Ryan Fitzgerald,K,6
316,Andre Szmyt,K,6
317,Justin Tucker,K,6
318,Harrison Mevis,K,6
319,Eddy Pineiro,K,6
320,Matt Prater,K,6
321,Parker Romo,K,6
322,Riley Patterson,K,6
323,Mark McNamee,K,6
324,Caden Davis,K,6
325,Jude McAtamney,K,6
326,Greg Zuerlein,K,7
327,Greg Joseph,K,7
328,Andrew Wellock,K,7
329,Charlie Smyth,K,7
330,Ben Sauls,K,7
331,Lenny Krieg,K,7
